NOOP noop
CLIT cliteral
WLIT wliteral
LIT literal
CFETCH c@
WFETCH w@
AFETCH a@
FETCH @
CSTORE c!
WSTORE w!
ASTORE a!
STORE !
CCOMMA c,
WCOMMA w,
COMMA ,
ACOMMA a,
CALL call
RET exit
JMP -n-
JMPZ -n-
JMPNZ -n-
ONEMINUS 1-
ONEPLUS 1+
DUP dup
SWAP swap
DROP drop
OVER over
ADD +
SUB -
MULT *
SLMOD /mod
LSHIFT 2*
RSHIFT 2/
AND and
OR or
XOR xor
NOT not
DTOR >r
RFETCH r@
RTOD r>
EMIT emit
DOT .
DOTS .s
DOTQUOTE .\
PAREN (
WDTFEED wdtfeed
BREAK brk
CMOVE cmove
CMOVE2 cmove>
FILL fill
OPENBLOCK open-block
FILECLOSE file-close
FILEREAD file-read
LOAD load
THRU thru
DO do
LOOP loop
LOOPP loop+
UNUSED7 -n-
PARSEWORD parse-word
PARSELINE parse-line
GETXT >body
ALIGN2 align2
ALIGN4 align4
CREATE create
FIND find
NEXTWORD next-word
ISNUMBER number?
NJMPZ -n-
NJMPNZ -n-
LESS <
EQUALS =
GREATER >
I i
J j
INPUTPIN input-pin
OUTPUTPIN output-pin
DELAY ms
TICK tick
APINSTORE apin!
DPINSTORE dpin!
APINFETCH apin@
DPINFETCH dpin@
MCFETCH mc@
MCSTORE mc!
BYE bye
